token_,count
  ,2846
  p,43
 p ,39
dieu  ,30
p  ,30
 second ,29
diable  ,24
 dieu ,22
 an ,19
second  ,18
 sorciers ,17
  sorciers,17
hommes  ,15
 f ,15
an  ,14
  second,14
 diable ,14
  pourquoy,13
  f,13
 homme ,12
 hommes ,12
  non,10
 dire ,10
 chap ,10
  neantmoins,9
 quil ,9
  faut,9
 quel ,9
 quoy ,9
sorciers  ,9
  moins,9
f  ,9
faire  ,8
 corps ,8
  bien,8
 com ,8
mort  ,8
  autant,8
 faire ,8
  diable,8
corps  ,8
  pr,8
 fin ,7
  dire,7
 quand ,7
 tou ,7
 ap ,7
 difoit ,7
 con ,7
malins esprits ,7
fr  ,7
  faire,7
  dieu,7
 ame ,7
homme  ,7
  z,7
chap  ,7
 h ,7
  rien,6
 accord ,6
  homme,6
bien  ,6
  quand,6
 plusieurs ,6
femme  ,6
enfans  ,6
  an,6
 cas pareil,6
  elles,6
croire  ,6
  foit,6
 z ,6
z  ,6
 it ,6
 perfonne ,6
 ec ,6
  veu,6
 dict ,6
  h,6
  fr,6
 ans ,6
esprits  ,5
  quil,5
paroles  ,5
là  ,5
  ap,5
 quant ,5
 pro ,5
 air ,5
 em ,5
  plusieurs,5
 moyen ,5
 trou ,5
 ex ,5
mots  ,5
  ila,5
 cha ,5
 ll ,5
  choses,5
  quelquesfois,5
verité  ,5
ve  ,5
dire  ,5
 ls ,5
  da,5
  ame,5
 ure ,5
 die ,5
nui  ,5
  cela,5
 cela ,5
  appelloit,5
  fouuent,5
  ans,5
 lequel ,5
 poudres ,5
 pr ,5
pr  ,5
 pm ,5
 fr ,5
 ray ,4
  ilauoit,4
 poffible ,4
ciel  ,4
monde  ,4
 malins esprits,4
 ques ,4
 ter ,4
doigt  ,4
 combien ,4
 bien ,4
 là ,4
  difent,4
 thomas ,4
 aquin ,4
plusieurs  ,4
 caracteres ,4
 eten cas,4
lieu  ,4
 moins ,4
 autant ,4
mourir  ,4
  quel,4
 sorcier ,4
 femme ,4
genre humain ,4
humain  ,4
al  ,4
 cr ,4
bouche  ,4
 come ,4
 efcripture ,4
  dict,4
 verité ,4
merueilles  ,4
 quelquesfois ,4
 faut ,4
  lib,4
 veu ,4
 esprit ,4
um  ,4
 da ,4
  esprit,4
quand  ,4
 foit ,4
 lieu ,4
 lo ,4
  sorcier,4
  ps,4
  mefmement,4
  quoy,4
  là,4
 xx ,4
 italie ,4
 peuples ,4
 afne ,4
  befoin,4
 vray ,4
poinét  ,4
diables  ,4
 tre ,4
dieu permet ,4
  pu,4
plu  ,4
 ac ,4
 sd ,4
 ains ,4
 religion ,4
 sathan ,4
sathan  ,4
  trouua,4
  at,4
 at ,4
 sorciere ,4
sorciere  ,4
it  ,4
poudres  ,4
cela  ,4
  ec,4
 cy ,4
 efcript ,4
 cité dieu,4
loups  ,4
parolles  ,4
  ls,4
  pm,4
pm  ,4
 pu ,4
pu  ,4
 pes ,4
 fignifie ,3
 impieté ,3
morts  ,3
 pendu paris,3
  quien,3
  vouloir,3
 quitiennent ,3
  vray,3
 dequoy ,3
fin  ,3
  diables,3
 quin ,3
  iamais,3
 beaucoup moins,3
corps celeftes ,3
