token_,count
('', '', ''),769
('dieu', '', ''),46
('', 'premier', ''),23
('', 'dieu', ''),20
('', '', 'pourquoy'),20
('premier', '', ''),16
('', 'lib', ''),14
('', 'dire', ''),12
('anges', '', ''),12
('', 'cap', ''),12
('', 'com', ''),12
('quelque', 'chose', ''),11
('bien', '', ''),11
('', 'p', ''),11
('', '', 'dieu'),11
('', 'efcripture', ''),10
('', 'bien', ''),10
('cap', '', ''),10
('', '', 'eftà'),10
('', '', 'sorciers'),10
('lib', '', ''),9
('', 'dict', ''),9
('', '', 'non'),9
('', '', 'neantmoins'),8
('', 'quand', ''),8
('', '', 'dire'),8
('', 'mauuais', ''),8
('malins', 'esprits', ''),8
('', 'impieté', ''),8
('', 'void', ''),7
('', '', 'lib'),7
('dire', '', ''),7
('esprits', '', ''),7
('', '', 'appelle'),7
('', 'chapitre', ''),7
('', 'h', ''),7
('nature', '', ''),7
('', 'eftà', 'dire'),7
('eftà', 'dire', ''),7
('', '', 'premier'),7
('hommes', '', ''),7
('', 'quel', ''),7
('chose', '', ''),6
('sorciers', '', ''),6
('', 'non', ''),6
('', 'bons', ''),6
('bons', '', ''),6
('', 'f', ''),6
('', 'hommes', ''),6
('', 'ment', ''),6
('', 'sorciers', ''),6
('', '', 'faut'),6
('', 'quoy', ''),6
('', 'fin', ''),6
('', 'air', ''),6
('', '', 'quel'),6
('', '', 'p'),6
('choses', '', ''),6
('', 'samuel', ''),6
('', 'combien', ''),6
('loy', 'dieu', ''),6
('telles', 'choses', ''),6
('', 'neantmoins', ''),5
('', 'esprits', ''),5
('bons', '', 'mauuais'),5
('', 'g', ''),5
('', 'dzmons', ''),5
('', '', 'opinion'),5
('chapitre', '', ''),5
('', '', 'f'),5
('', '', 'plusieurs'),5
('hom', '', ''),5
('', '', 'bien'),5
('', 'fçauoir', ''),5
('', '', 'celuy'),5
('', 'celle', ''),5
('mm', '', ''),5
('', '', 'iamais'),5
('', 'esprit', ''),5
('', 'oy', ''),5
('', '', 'hommes'),5
('', 'ges', ''),5
('', 'diét', ''),5
('', '', 'eau'),5
('', '', 'esprit'),5
('esprit', '', ''),5
('', 'vifions', ''),5
('', '', 'homme'),5
('samuel', '', ''),5
('', 'ca', ''),5
('', 'lune', ''),5
('', 'faut', 'donc'),5
('celà', '', ''),5
('', '', 'autant'),5
('', 'moyen', ''),5
('œuures', 'dieu', ''),5
('', 'nes', ''),5
('', 'thummim', ''),5
('naturelles', '', ''),5
('', '', 'moyens'),5
('', 'ques', ''),4
('', 'plutarque', ''),4
('quand', '', ''),4
('', 'opinion', ''),4
('ciel', '', ''),4
('conseil', 'dieu', ''),4
('hebrieux', '', ''),4
('', 'met', ''),4
('', 'oracle', ''),4
('', 'mort', ''),4
('', '', 'cy'),4
('', 'cy', ''),4
('', '', 'jamais'),4
('face', '', ''),4
('', '', 'quoy'),4
('foy', '', ''),4
('an', '', ''),4
('celeftes', '', ''),4
('', 'mm', ''),4
('', 'quin', ''),4
('plantes', '', ''),4
('', 'hom', ''),4
('', 'mal', ''),4
('', 'libro', ''),4
('', 'homme', ''),4
('', 'hebrieux', ''),4
('', 'celà', ''),4
('', '', 'lesautres'),4
('', 'ange', 'dieu'),4
('', '', 'oit'),4
('', 'eau', ''),4
('', 'faire', ''),4
('', '', 'efcripture'),4
('', '', 'vifions'),4
('fonges', '', ''),4
('', 'quil', ''),4
('', '', 'rien'),4
('', '', 'faire'),4
('paruenir', 'quelque', 'chose'),4
('moyens', 'diaboliques', ''),4
('grecs', '', 'latins'),4
('soleil', '', ''),4
('', '', 'caufe'),4
('', 'facrifices', ''),4
('', '', 'cap'),4
('', 'malins', 'esprits'),4
('miracles', '', ''),4
('impieté', '', ''),4
('', 'parle', 'moyen'),4
('', '', 'impieté'),4
('', 'chose', ''),4
('', 'autant', ''),4
('', 'imagination', ''),4
('vifions', '', ''),4
('', '', 'elles'),4
('nes', '', ''),4
('', '', 'thummim'),4
('', 'pierres', ''),4
('', '', 'choses'),4
('', 'an', ''),4
('', '', 'herbe'),4
('lune', '', ''),4
('', 'plantes', ''),4
('cours', 'nature', ''),4
('illicites', '', ''),4
('', 'ge', ''),4
('', 'moyens', 'illicites'),4
('', '', 'chapitre'),3
('', 'é', ''),3
('mot', '', 'sciemment'),3
('', 'sciemment', ''),3
('', 'moyens', 'diaboliques'),3
('', 'salomon', ''),3
('', 'accord', ''),3
('', 'ariftote', ''),3
('corps', 'celeftes', ''),3
('', '', 'demons'),3
('', 'demons', ''),3
('', 'iamblique', ''),3
('', '', 'g'),3
('', '', 'bons'),3
('', 'origine', ''),3
('', 'platon', ''),3
('', '', 'auoient'),3
('opinion', '', ''),3
('anciens', '', ''),3
('vns', '', ''),3
('', 'con', ''),3
('', 'grand', ''),3
('', 'appelle', ''),3
('', '', 'h'),3
('h', '', ''),3
('ij', '', ''),3
('', '', 'diables'),3
('', '', 'quelle'),3
('met', '', ''),3
('', 'ru', ''),3
('', '', 'difent'),3
('', 'fain', ''),3
('', 'nez', ''),3
('nez', '', ''),3
('', 'foit', ''),3
('monde', 'elementaire', ''),3
('', 'toutesfois', ''),3
('', '', 'salomon'),3
('puiflance', '', ''),3
('', 'poin', ''),3
('', 'efcripture', 'faincte'),3
('', 'cen', ''),3
('', 'augustin', ''),3
('mai', '', ''),3
('moyés', 'diaboliques', ''),3
('p', '', ''),3
('', 'mineraux', ''),3
('oy', '', ''),3
('beftes', '', ''),3
('mot', 'hebrieu', ''),3
('', '', 'peu'),3
('', 'pourquoy', ''),3
('', '', 'mal'),3
('', 'vie', ''),3
('p', '', 'al'),3
('', 'al', ''),3
('al', '', ''),3
('lieu', '', ''),3
('bien', 'mal', ''),3
('femble', '', ''),3
('diabolique', '', ''),3
('ange', 'dieu', ''),3
('lib', '', 'cap'),3
('', '', 'parle'),3
('', 'entre', ''),3
('eau', '', ''),3
('', 'toute', ''),3
('', '', 'toutesfois'),3
('matin', '', ''),3
('', 'fonges', ''),3
('ve', '', 'rité'),3
('', 'tion', ''),3
('bible', '', ''),3
('', '', 'alors'),3
('diét', '', ''),3
('', 'esprit', 'dieu'),3
('', '', 'numeri'),3
('', 'numeri', ''),3
('quand', '', 'dieu'),3
('', 'dauid', ''),3
('dauid', '', ''),3
('', '', 'prit'),3
('prophetes', '', ''),3
('', '', 'helie'),3
('', 'mauuais', 'esprits'),3
('mauuais', 'esprits', ''),3
('sorcier', '', 'celuy'),3
('', 'idolatrie', ''),3
('prieres', '', ''),3
('fouuent', '', ''),3
('', '', 'parler'),3
('ans', '', ''),3
('ca', '', ''),3
('pays', '', ''),3
('fin', '', ''),3
('', '', 'chose'),3
('', 'ifrael', ''),3
('', 'ap', ''),3
