token_,count
('malins', 'esprits'),19
('malin', 'esprit'),10
('an', 'mil'),9
('cy', 'dessus'),8
('loy', 'dieu'),6
('mil', 'cinq'),6
('cinq', 'cens'),5
('prier', 'dieu'),5
('sorciers', 'peuvent'),5
('mal', 'caduc'),5
('chafler', 'malins'),4
('gens', 'bien'),4
('premiere', 'heure'),4
('dieu', 'donne'),4
('faire', 'mourir'),4
('esprit', 'dieu'),4
('vray', 'dire'),3
('bien', 'fort'),3
('malins', 'cfprits'),3
('quelques', 'uns'),3
('cens', 'cinquante'),3
('faire', 'mal'),3
('soleil', 'couché'),3
('mieux', 'dire'),3
('peuvent', 'faire'),3
('cas', 'pareil'),3
('quelques', 'fois'),3
('quelques', 'parolles'),3
('faisant', 'quelques'),3
('sylueftre', 'fecond'),3
('parle', 'moyen'),3
('long', 'temps'),3
('remarqué', 'cy'),3
('hayoit', 'mort'),3
